book_id,goodreads_book_id,best_book_id,work_id,authors,original_publication_year,title,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,Genre 1,Genre 2,Genre 3,Genre 4,isbn,isbn13
1,2767052,2767052,2792775,Suzanne Collins,2008,The Hunger Games (The Hunger Games #1),4.34,4780653,4942365,155254,66715,127936,560092,1481305,2706317,https://images.gr-assets.com/books/1447303603m/2767052.jpg,https://images.gr-assets.com/books/1447303603s/2767052.jpg,young adult,fiction,dystopian,,439023483,9.78E+12
2,3,3,4640799,J.K. Rowling Mary GrandPré,1997,Harry Potter and the Sorcerer's Stone (Harry Potter #1),4.44,4602479,4800065,75867,75504,101676,455024,1156318,3011543,https://images.gr-assets.com/books/1474154022m/3.jpg,https://images.gr-assets.com/books/1474154022s/3.jpg,fantasy,young adult,fiction,harry potter,439554934,9.78E+12
3,41865,41865,3212258,Stephenie Meyer,2005,Twilight (Twilight #1),3.57,3866839,3916824,95009,456191,436802,793319,875073,1355439,https://images.gr-assets.com/books/1361039443m/41865.jpg,https://images.gr-assets.com/books/1361039443s/41865.jpg,young adult,fantasy,romance,vampires,316015849,9.78E+12
4,2657,2657,3275794,Harper Lee,1960,To Kill a Mockingbird,4.25,3198671,3340896,72586,60427,117415,446835,1001952,1714267,https://images.gr-assets.com/books/1361975680m/2657.jpg,https://images.gr-assets.com/books/1361975680s/2657.jpg,classics,fiction,historical fiction,,61120081,9.78E+12
5,4671,4671,245494,F. Scott Fitzgerald,1925,The Great Gatsby,3.89,2683664,2773745,51992,86236,197621,606158,936012,947718,https://images.gr-assets.com/books/1490528560m/4671.jpg,https://images.gr-assets.com/books/1490528560s/4671.jpg,classics,fiction,school,,743273567,9.78E+12
6,11870085,11870085,16827462,John Green,2012,The Fault in Our Stars,4.26,2346404,2478609,140739,47994,92723,327550,698471,1311871,https://images.gr-assets.com/books/1360206420m/11870085.jpg,https://images.gr-assets.com/books/1360206420s/11870085.jpg,young adult,fiction,romance,,525478817,9.78E+12
7,5907,5907,1540236,J.R.R. Tolkien,1937,The Hobbit,4.25,2071616,2196809,37653,46023,76784,288649,665635,1119718,https://images.gr-assets.com/books/1372847500m/5907.jpg,https://images.gr-assets.com/books/1372847500s/5907.jpg,fantasy,classics,fiction,,618260307,9.78E+12
8,5107,5107,3036731,J.D. Salinger,1951,The Catcher in the Rye,3.79,2044241,2120637,44920,109383,185520,455042,661516,709176,https://images.gr-assets.com/books/1398034300m/5107.jpg,https://images.gr-assets.com/books/1398034300s/5107.jpg,classics,fiction,young adult,,316769177,9.78E+12
9,960,960,3338963,Dan Brown,2000,Angels & Demons  (Robert Langdon #1),3.85,2001311,2078754,25112,77841,145740,458429,716569,680175,https://images.gr-assets.com/books/1303390735m/960.jpg,https://images.gr-assets.com/books/1303390735s/960.jpg,fiction,mystery,thriller,dan brown,1416524797,9.78E+12
10,1885,1885,3060926,Jane Austen,1813,Pride and Prejudice,4.24,2035490,2191465,49152,54700,86485,284852,609755,1155673,https://images.gr-assets.com/books/1320399351m/1885.jpg,https://images.gr-assets.com/books/1320399351s/1885.jpg,classics,fiction,romance,,679783261,9.78E+12
